AFG,High_Developed,PFG,PPT,Woody,claycontent,presence
3.761622993,-0.13563027,2.219781912,-1.389026875,-1.022973531,-1.753216736,1
0.300809455,-0.13563027,2.524515279,-2.297311738,-1.3005463,-1.103882937,1
-0.393464728,-0.13563027,0.1131469,-1.559686286,-0.988282354,-0.6884701,1
0.617351385,-0.13563027,1.06709483,-1.333071376,-1.344747311,-0.101582281,1
-0.858223765,-0.13563027,0.590120865,-2.359644376,-1.133168107,-0.938450096,1
4.214947941,-0.13563027,2.431770341,-1.564976043,-1.104764099,-2.583686162,1
3.709917475,-0.13563027,2.590761663,-1.571790977,-0.829845412,-0.307553714,1
0.739940499,-0.13563027,2.928618221,-1.878232679,-1.080589517,-1.308576007,1
0.525521756,-0.13563027,0.351633882,-1.580657227,-1.221713111,-1.923985567,1
-0.865552445,-0.13563027,3.418841463,-1.158330288,-0.79184182,-0.586641465,1
-0.680288989,-0.13563027,0.106522261,-0.891085402,-1.405813955,-0.887514797,1
-1.430623628,-0.100516939,1.27245862,-2.029521677,-0.432410564,-1.323671632,1
-0.445254087,-0.13563027,0.954475977,-1.826022915,-0.578033735,-0.799114694,1
-0.42506529,-0.13563027,1.570567349,-1.682359251,-0.278788424,-1.045834695,1
-0.8120407,-0.13563027,2.213157274,-1.664808079,-0.563842122,-0.805564325,1
-0.817457816,-0.006718068,0.119771538,-0.993153545,-1.277935225,0.405060498,1
1.925506205,-0.13563027,0.974349892,-2.063038655,-1.12593461,-1.383072245,1
-1.483134619,-0.13563027,2.166784805,-1.349907206,-0.912207958,0.107713828,1
-0.596776803,-0.122749021,2.411896426,-1.640369084,-0.976813324,-1.296598346,1
-1.171627338,-0.13563027,1.537444157,-1.167016436,-0.431682716,-0.733296856,1
-1.399692597,-0.13563027,1.597065902,-1.058182006,-0.923468854,-0.38951557,1
-0.910575937,-0.13563027,1.451323857,-1.826142949,-0.610306708,-1.093792932,1
-0.980426978,-0.13563027,0.252264306,-2.634035016,-0.775963885,-0.576352482,1
