AFG,High_Developed,PFG,PPT,Woody,claycontent,presence
0.176185283,0,5.79E-01,33.13496498,0.044880968,0.213066329,1
0.063330158,0,6.25E-01,25.59978775,0.020519635,0.238334412,1
0.040690279,0,2.61E-01,31.71916586,0.047925659,0.254499728,1
0.073652407,0,4.05E-01,33.59917463,0.016640308,0.277337797,1
0.025534756,0,3.33E-01,25.08267303,0.035209678,0.244772042,1
0.190967947,0,6.11E-01,31.67528177,0.037702572,0.18074956,1
0.174499196,0,6.35E-01,31.61874473,0.061830968,0.269322654,1
0.077649967,0,6.86E-01,29.07648885,0.039824268,0.230369015,1
0.070657896,0,2.97E-01,31.54518987,0.027438475,0.206421055,1
0.025295772,0,7.60E-01,35.04883555,0.065166375,0.258462273,1
0.031337106,0,2.60E-01,37.26591266,0.011280759,0.246754131,1
0.006869128,3.68E-04,4.36E-01,27.82138766,0.096712065,0.229781586,1
0.039001458,0,3.88E-01,29.5096237,0.083931364,0.25019412,1
0.039659803,0,4.81E-01,30.70146473,0.1101948,0.240593293,1
0.027040759,0,5.78E-01,30.84707014,0.085176899,0.24994314,1
0.02686411,0.001351045,2.62E-01,36.41915017,0.022504109,0.297053222,1
0.116310578,0,3.91E-01,27.54332911,0.03584453,0.227470079,1
0.005156775,0,5.71E-01,33.45950373,0.054602372,0.285482316,1
0.03406039,1.35E-04,6.08E-01,31.04981728,0.048932245,0.230835112,1
0.015314847,0,4.76E-01,34.97677482,0.096775945,0.252755346,1
0.007877771,0,4.85E-01,35.87967077,0.053614053,0.266133202,1
0.023827582,0,4.63E-01,29.50862789,0.081098908,0.238727053,1
0.02154978,0,2.82E-01,22.80631438,0.066559911,0.258862657,1
0.052876579,0,3.88E-01,30.85260182,0.018276967,0.272098553,1
0.065730849,0,5.65E-01,34.52549876,0.072519174,0.234417268,1
0.009061323,0,5.47E-01,33.92466555,0.063072092,0.291850913,1
0.003871314,0,5.57E-01,31.00789727,0.044849031,0.252891823,1
0.057225454,0,4.74E-01,29.49391935,0.015656508,0.238505193,1
0.094114018,3.39E-04,6.43E-01,30.21658375,0.027636042,0.238785083,1
0.07948536,0,6.38E-01,30.82625247,0.017454216,0.216772633,1
0.028530724,0,6.64E-01,33.84480045,0.035187894,0.264276584,1
0.109252162,0,4.28E-01,26.24756652,0.008996677,0.248283859,1
0.031032663,0,3.34E-01,35.03026321,0.0246766,0.254483801,1
0.058682429,0,3.28E-01,32.42279795,0.040560201,0.235551399,1
0.087243531,2.09E-04,4.82E-01,28.41384581,0.039000808,0.240155751,1
0.031948047,0,3.63E-01,28.45271198,0.036783596,0.253081747,1
0.104928539,1.41E-04,4.63E-01,28.36210539,0.046153165,0.245469214,1
0.044709076,0,5.13E-01,28.83496843,0.033639735,0.240376645,1
0.009739571,0,5.44E-02,42.11081883,0.006343496,0.231127116,1
0.012293686,0,2.74E-02,41.24053775,0.004473653,0.266375932,1
0.006548277,0,5.76E-01,31.30261771,0.032081396,0.240472914,1
0.020560659,0,6.37E-01,35.30134215,0.026956147,0.261371624,1
0.04324119,0,4.81E-01,28.30734374,0.051943869,0.239047795,1
0.050345328,0,5.88E-01,33.10663406,0.053379756,0.189057951,1
0.069675435,1.39E-04,4.61E-01,30.77739445,0.061249569,0.216089199,1
0.075973017,0,1.61E-01,42.12602544,0.014457032,0.277768121,1
0.099397834,0,3.20E-01,44.14225789,0.024012831,0.247742976,1
0.119107106,0,4.82E-01,28.38982423,0.058692063,0.254559357,1
0.021249508,0,4.39E-02,41.34362855,0.000662983,0.264923782,1
0.033872131,4.71E-04,4.11E-01,34.49959672,0.093498668,0.223312023,1
0.024725792,0,7.80E-01,34.25183241,0.043170622,0.286274597,1
0.023851826,0,8.11E-01,34.04004026,0.020022953,0.288150524,1
0.066985154,0,7.38E-01,32.51990171,0.030262678,0.239573339,1
0.021912307,0,3.86E-01,35.08791654,0.148032619,0.261899967,1
0.074329521,0,4.76E-01,30.73596464,0.02207022,0.241026261,1
0.038970007,0,6.28E-01,34.31875068,0.102302784,0.230253269,1
0.021975803,7.11E-05,6.55E-01,33.80541279,0.028403754,0.292002131,1
0.106264222,0,7.81E-01,30.31999739,0.007985378,0.224235807,1
0.024128276,0,4.91E-01,24.0136238,0.083405021,0.240684599,1
0.102765486,0,5.81E-01,28.06133068,0.044891027,0.232678043,1
0.055626327,0,3.54E-01,27.58400944,0.068853468,0.244504855,1
0.018140308,7.08E-05,2.84E-02,36.88233021,0.01114431,0.272021759,1
0.01488581,0,3.63E-02,38.8053747,0.00849759,0.227948713,1
0.01460869,0,1.67E-02,36.12505179,0.004713545,0.276743828,1
0.026948066,6.98E-04,1.24E-01,42.52078891,0.016991769,0.27571146,1
0.045736993,0,1.30E-01,34.30491326,0.021597488,0.228739252,1
0.051575991,0,2.64E-01,33.27834806,0.130061451,0.248572407,1
0.008144251,0,6.19E-01,34.11935273,0.082911723,0.276335746,1
0.100816804,0,8.80E-02,28.20205723,0.043630055,0.244634526,1
0.033643808,0,4.98E-01,31.84964619,0.07513076,0.250723312,1
0.015675877,0.0015046,1.49E-02,36.22410211,0.012898545,0.234979156,1
0.078086588,0,4.95E-01,34.207302,0.006746719,0.239878906,1
0.039724083,0,3.70E-01,28.15968404,0.089972328,0.272288949,0
0.035012057,0,1.95E-01,31.32555469,0.183527453,0.227248937,0
0.013307653,2.07E-04,1.33E-01,41.26979423,0.009282855,0.239571738,0
0.059036439,6.61E-04,2.34E-01,28.94857714,0.150238063,0.222464168,0
0.088384016,0,4.26E-01,36.49225192,0.0993133,0.2570995,0
0.013826608,0,2.02E-01,35.51732883,0.303970088,0.258330291,0
0.021693594,7.66E-04,3.92E-01,30.85952876,0.091642466,0.224234186,0
0.073347706,0,1.94E-01,34.75757402,0.209234057,0.19557125,0
0.118206111,5.81E-05,3.74E-01,37.48289608,0.037118598,0.18146387,0
0.02381143,0,5.67E-01,28.56656175,0.052563218,0.251911162,0
0.011938724,0,2.82E-01,29.80553368,0.177328877,0.248148726,0
0.03577592,0,1.42E-01,37.43642021,0.029378323,0.196398996,0
0.039707702,7.48E-04,1.18E-01,27.85615644,0.052265174,0.225768219,0
0.018813436,0,8.80E-02,27.27427131,0.207023201,0.26396995,0
0.036942991,4.42E-04,3.57E-01,34.95618977,0.154406757,0.2862121,0
0.062242734,1.49E-04,4.34E-01,47.18020019,0.240844247,0.27820438,0
0.021079548,0.001060664,7.43E-02,36.62213314,0.020438025,0.270441842,0
0.053260195,5.62E-04,3.43E-01,28.47910435,0.051385467,0.259345633,0
0.028358545,0,3.65E-01,33.66356585,0.111755399,0.246235338,0
0.045971269,0,1.70E-01,32.61927092,0.204679343,0.254793898,0
0.085584358,4.98E-04,6.29E-01,54.20626545,0.056222181,0.194680863,0
0.057513958,0,3.14E-01,49.64038679,0.337585708,0.248021487,0
0.017837155,0,6.99E-02,38.67701292,0.076629908,0.229629773,0
0.01276715,0.003357674,2.26E-01,33.04822634,0.123023406,0.254016661,0
0.009415258,0.001278964,1.89E-02,46.04481017,0.028820913,0.243706696,0
0.060607439,0,1.52E-01,34.72858731,0.135312244,0.207292216,0
0.022856935,0,1.70E-01,46.63756534,0.369896679,0.310960023,0
